document_tone	sentences_tone
{'tones': [{'score': 0.585684, 'tone_id': 'anger', 'tone_name': 'Anger'}]}	
{'tones': [{'score': 0.994704, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	[{'sentence_id': 0, 'text': 'hope better future.solidarity', 'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'covid warrior', 'tones': []}]
{'tones': [{'score': 0.706617, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.561483, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.755313, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.657949, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.631525, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.524698, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.828217, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.75414, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.658229, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.539686, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.536806, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': [{'score': 0.741973, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.670104, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.564476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.685223, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.908061, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.567494, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.744721, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.522428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.952663, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	[{'sentence_id': 0, 'text': 'fidayeen need always use fire arm kill people.tablighis', 'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'carrying coronavirus spread across india kill thousand', 'tones': [{'score': 0.514402, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]
{'tones': []}	
{'tones': [{'score': 0.947971, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.69481, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.537994, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.597592, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.589575, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.911475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.629133, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.819471, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.63048, 'tone_id': 'anger', 'tone_name': 'Anger'}]}	
{'tones': [{'score': 0.704614, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.651205, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.540886, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.812664, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	[{'sentence_id': 0, 'text': 'bid control coronavirus outbreak state mumbai bmc USER_MENTION issued order saying body coronavirus patient cremated irrespective religion burial allowed.the', 'tones': [{'score': 0.713028, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'funeral involve five people covid19india', 'tones': [{'score': 0.54787, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]
{'tones': [{'score': 0.669221, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.777256, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.763297, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.54275, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': []}	
{'tones': [{'score': 0.65478, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.635197, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.535678, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.817498, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.564476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.795269, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.870079, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.872971, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.608552, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.613644, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.547943, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.956511, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': [{'score': 0.610217, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	[{'sentence_id': 0, 'text': 'USER_MENTION USER_MENTION describe loan tenure only15.and', 'tones': []}, {'sentence_id': 1, 'text': 'added penalty everyday lockdown.cashbean', 'tones': []}, {'sentence_id': 2, 'text': 'say u dont need pay added without knowing customer shame cashbeanfraud bancashbean', 'tones': [{'score': 0.643231, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]
{'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.809841, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.876255, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.775166, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.643462, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.517726, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': [{'score': 0.515576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.742245, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.875996, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.515711, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.620538, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.904939, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.500655, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.529601, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': []}	
{'tones': [{'score': 0.726027, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.597565, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.855529, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.929309, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.915488, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.761642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	[{'sentence_id': 0, 'text': 'virtually attended funeral today honestly wanted give hug fam already painful lose loved one fact safe distancing even viewing gallery.that', 'tones': [{'score': 0.876462, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'literally broke heart pandemic real soon', 'tones': [{'score': 0.869777, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]
{'tones': [{'score': 0.896937, 'tone_id': 'fear', 'tone_name': 'Fear'}]}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.564839, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.717929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.65822, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.609545, 'tone_id': 'confident', 'tone_name': 'Confident'}]}	
{'tones': []}	
{'tones': [{'score': 0.58741, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.904882, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.76637, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	
{'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.515275, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': [{'score': 0.766424, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.535643, 'tone_id': 'anger', 'tone_name': 'Anger'}]}	
{'tones': [{'score': 0.514939, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.594263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': []}	
{'tones': [{'score': 0.61476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.536112, 'tone_id': 'anger', 'tone_name': 'Anger'}]}	
{'tones': [{'score': 0.660475, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.907279, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.651326, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.596888, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}	
{'tones': [{'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.523964, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.705485, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}	
{'tones': [{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.809841, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': []}	
{'tones': []}	
{'tones': []}	
{'tones': [{'score': 0.654903, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.889429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}	
{'tones': [{'score': 0.830448, 'tone_id': 'joy', 'tone_name': 'Joy'}]}	[{'sentence_id': 0, 'text': 'well URL done great job fight covid.ppl', 'tones': [{'score': 0.738899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'bengal appreciate ur effort', 'tones': [{'score': 0.710775, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]
